symbol,type,CNY,position,date,netvalue,CNYholdings,calibration,hedge,symbol_hedge,GLD_price,GLD_ratio,^GLD-JP_price,^GLD-JP_ratio,^GLD-EU_price,^GLD-EU_ratio,USO_price,USO_ratio,^USO-JP_price,^USO-JP_ratio,^USO-HK_price,^USO-HK_ratio,^USO-EU_price,^USO-EU_ratio
SH501018,商品,6.8648,0.79,2026-04-17,1.6265,6.8622,,,,,,,,,,116.04,39,126.2,9,,,113.55,52
SZ160723,商品,6.8648,0.77,2026-04-17,1.866,6.8622,,,,,,,,,,116.04,45,126.2,7,,,113.55,48
SZ161129,商品,6.8648,0.56,2026-04-17,1.5486,6.8622,,,,,,,,,,116.04,19,126.2,35,126.12,6,113.55,40
SZ160216,商品,6.8648,0.7,2026-04-17,0.735,6.8622,,,,445.93,59,,,,,116.04,41,,,,,,
SZ161815,商品,6.8648,0.73,2026-04-17,1.181,6.8622,,,,445.93,75,,,,,116.04,15,,,,,113.55,10
SZ160719,商品,6.8648,0.95,2026-04-17,2.194,6.8622,,,,445.93,57,,,447.34,43,,,,,,,,
SZ161116,商品,6.8648,0.93,2026-04-17,1.8149,6.8622,,,,445.93,87,,,447.34,13,,,,,,,,
SZ164701,商品,6.8648,0.98,2026-04-17,1.93,6.8622,,,,445.93,99,,,,,,,,,,,,
SZ165513,商品,6.8648,0.89,2026-04-17,1.1573,6.8622,,,,445.93,86,439.16,3,447.34,11,,,,,,,,
SH513350,纯ETF,,1,2026-04-17,1.142,,959.616748,959.616748,XOP,,,,,,,,,,,,,,
SZ159518,纯ETF,,1,2026-04-17,1.0886,,1006.689625,1006.689625,XOP,,,,,,,,,,,,,,
SZ162411,纯ETF,6.8648,0.95,2026-04-17,0.8557,,1280.685201,1348.089685,XOP,,,,,,,,,,,,,,
SZ162415,纯ETF,6.8648,0.94,2026-04-17,2.992,,276.240930,293.87333,XLY,,,,,,,,,,,,,,
SZ159502,纯ETF,,1,2026-04-17,1.4053,,677.083283,677.083283,XBI,,,,,,,,,,,,,,
SZ161127,纯ETF,6.8648,0.95,2026-04-17,1.8769,,506.955692,533.637571,XBI,,,,,,,,,,,,,,
SPY,,,1,2026-04-17,710.19873,,10.033896,,^GSPC,,,,,,,,,,,,,,
SZ161125,指数,6.8648,0.95,2026-04-17,2.9715,,16456.486494,1726.409897,SPY,,,,,,,,,,,,,,
QQQ,,,1,2026-04-17,648.825074,,41.10882,,^NDX,,,,,,,,,,,,,,
SZ161130,指数,6.8648,0.95,2026-04-17,4.0745,,44921.234779,1150.252191,QQQ,,,,,,,,,,,,,,
