基金类名,基金代码,基金名称,相关指数,指数代码,申购费,申购状态,赎回费,赎回状态
T+0 QDII 欧美,162415,美国消费LOF,标普可选消费品精选版块指数,IXY.SPI,1.20%,暂停申购,1.50%,
T+0 QDII 欧美,164906,中概互联网LOF,中证海外中国互联网指数,H11136.CSI,1.20%,开放申购,1.50%,
T+0 QDII 欧美,161127,标普生物科技LOF,标普生物科技精选行业指数,SPSIBI.SPI,1.20%,暂停申购,1.50%,
T+0 QDII 欧美,164824,印度基金LOF,印度EFP指数,int_india,1.20%,限10万,1.50%,
T+0 QDII 欧美,160125,南方香港LOF,恒生指数,,1.30%,开放申购,1.50%,
T+0 QDII 欧美,501312,海外科技LOF,海外科技,int_us,,,,
T+0 QDII 欧美,160140,美国REIT精选LOF,道琼斯美国精选REIT指数,DWRTF,1.20%,开放申购,1.50%,
T+0 QDII 欧美,161125,标普500LOF,标普500,inx_sp500,1.20%,暂停申购,1.50%,
T+0 QDII 欧美,161126,标普医疗保健LOF,标普500医疗保健等权重指数,inx_spxv,1.20%,暂停申购,1.50%,
T+0 QDII 欧美,161128,标普信息科技LOF,标普500信息科技指数,inx_spxl,1.20%,暂停申购,1.50%,
T+0 QDII 欧美,160644,港股互联网LOF,中证海外中国互联网指数,H11136.CSI,1.77%,限10万,1.50%,
T+0 QDII 欧美,501300,美元债LOF,美国债券综合指数,AGG,0.95%,限100万,1.50%,
T+0 QDII 欧美,161130,纳斯达克100LOF,纳斯达克100,NDX.GI,1.20%,暂停申购,1.50%,
T+0 QDII 欧美,501225,全球芯片LOF,全球芯片,int_sox,1.50%,暂停申购,1.50%,
T+0 QDII 亚洲,501301,香港大盘LOF,恒生中国30,hscce,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,501303,恒生中型股LOF,恒生综合中型股,hsmc,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,501305,港股高股息LOF,港股通高股息,hktop,1.50%,开放申购,1.50%,
T+0 QDII 亚洲,161831,恒生国企LOF,恒生中国企业,hscei,1.20%,开放申购,1.50%,
